Crop,Season,Region,Soil_Type,Irrigation_Type,Mechanization_Level,Labour_Availability,Gender_Split,Farm_Size_Acre,Task,Prev_Yield_q_per_acre,Weather_Index,Labour_Per_Acre_est,Labour_Required,Labour_Hours_est,Duration_Days_est,Wage_Per_Day_INR,Total_Labour_Cost_INR,Male_Workers_est,Female_Workers_est,Labour_Demand_Level
Sugarcane,Zaid,Uttar_Pradesh,Loamy,Tube_Well,Low,High,Mostly_Male,1.79,Transplanting,24.38,0.96,5.1,9,61.8,14,450,4050,8,1,High
Rice,Kharif,Haryana,Alluvial,Canal,None,High,Mixed,10.98,Transplanting,27.2,0.88,4.26,47,299.1,85,711,33417,23,24,High
Rice,Rabi,Odisha,Red,Rainfed,Low,Low,Mostly_Male,5.3,Pest_Control,27.33,1.09,1.48,8,54.0,8,451,3608,8,0,Very_Low
Rice,Kharif,Madhya_Pradesh,Black,Tube_Well,None,High,Mostly_Female,4.58,Weeding,34.85,0.99,1.65,8,63.2,11,501,4008,2,6,Low
Vegetables,Kharif,Tamil_Nadu,Laterite,Canal,None,Medium,Mixed,0.78,Post_Harvest,34.19,1.07,1.76,1,9.0,2,553,553,1,0,Low
Groundnut,Zaid,Karnataka,Laterite,Tube_Well,Medium,Low,Mostly_Male,3.66,Land_Preparation,25.4,0.99,1.11,4,28.3,7,544,2176,4,0,Very_Low
Vegetables,Zaid,Punjab,Red,Drip,None,High,Mostly_Female,1.97,Threshing,35.38,1.02,3.47,7,44.9,8,804,5628,2,5,Medium
Pulses,Kharif,Odisha,Alluvial,Tube_Well,Low,Medium,Mixed,8.43,Irrigation,12.14,0.86,0.52,4,35.3,8,459,1836,2,2,Very_Low
Vegetables,Kharif,Uttar_Pradesh,Red,Drip,High,High,Mixed,1.82,Sowing,37.28,1.0,1.46,3,21.7,4,407,1221,1,2,Very_Low
Rice,Kharif,Tamil_Nadu,Sandy,Sprinkler,High,Medium,Mostly_Male,1.44,Irrigation,31.23,1.08,0.47,1,6.4,1,543,543,1,0,Very_Low
Wheat,Rabi,Uttar_Pradesh,Sandy,Sprinkler,High,Low,Mostly_Female,1.17,Threshing,23.2,1.13,1.45,2,15.3,4,447,894,0,2,Very_Low
Vegetables,Kharif,Uttar_Pradesh,Laterite,Rainfed,Medium,Medium,Mostly_Male,1.48,Transplanting,32.37,0.87,5.43,8,62.1,7,428,3424,7,1,High
Pulses,Rabi,Tamil_Nadu,Alluvial,Tube_Well,None,High,Mostly_Male,1.93,Sowing,31.58,0.95,1.39,3,26.3,8,481,1443,3,0,Very_Low
Groundnut,Kharif,Madhya_Pradesh,Black,Sprinkler,Low,Medium,Mostly_Female,4.51,Threshing,22.65,1.11,3.22,15,122.8,19,460,6900,1,14,Medium
Vegetables,Kharif,Odisha,Loamy,Drip,None,Medium,Mixed,8.4,Transplanting,41.97,0.97,7.53,63,550.1,54,384,24192,36,27,High
Rice,Zaid,West_Bengal,Red,Sprinkler,Low,High,Mixed,3.39,Post_Harvest,24.32,0.91,0.84,3,19.2,8,455,1365,1,2,Very_Low
Cotton,Kharif,Punjab,Black,Canal,Medium,Medium,Mostly_Female,3.56,Pest_Control,35.83,0.89,0.9,3,26.6,6,744,2232,1,2,Very_Low
Wheat,Rabi,Haryana,Red,Canal,Low,Low,Mostly_Female,7.71,Sowing,18.98,1.11,2.08,16,115.7,30,695,11120,2,14,Low
Cotton,Zaid,Madhya_Pradesh,Black,Drip,Low,High,Mostly_Female,0.63,Weeding,29.32,1.0,1.57,1,7.3,2,453,453,0,1,Low
Wheat,Zaid,Karnataka,Sandy,Tube_Well,Low,Low,Mixed,1.93,Transplanting,25.02,0.94,3.35,6,49.8,12,523,3138,2,4,Medium
Groundnut,Rabi,Uttar_Pradesh,Loamy,Canal,Low,Medium,Mixed,2.47,Harvesting,33.79,1.14,3.44,8,59.5,18,392,3136,4,4,Medium
Groundnut,Rabi,Maharashtra,Sandy,Sprinkler,Medium,Low,Mixed,3.07,Fertilizer_Application,22.79,1.01,1.04,3,20.4,5,549,1647,2,1,Very_Low
Wheat,Kharif,Odisha,Alluvial,Canal,High,Medium,Mostly_Male,2.86,Threshing,17.95,1.11,1.19,3,26.3,9,422,1266,3,0,Very_Low
Wheat,Kharif,Punjab,Red,Sprinkler,Low,Medium,Mixed,2.33,Weeding,16.26,0.91,1.1,3,24.5,6,751,2253,1,2,Very_Low
Cotton,Zaid,West_Bengal,Loamy,Sprinkler,Medium,Medium,Mixed,3.76,Harvesting,25.53,1.04,3.48,13,90.7,28,425,5525,7,6,Medium
Mustard,Rabi,Karnataka,Black,Drip,High,Low,Mostly_Male,6.81,Sowing,15.58,1.02,0.76,5,36.2,15,488,2440,4,1,Very_Low
Rice,Kharif,Tamil_Nadu,Laterite,Canal,Low,Low,Mixed,0.52,Sowing,23.32,0.86,1.98,1,7.8,2,504,504,1,0,Low
Groundnut,Kharif,Haryana,Red,Canal,Medium,Low,Mixed,1.04,Post_Harvest,28.28,1.01,1.02,1,8.3,2,696,696,1,0,Very_Low
Wheat,Rabi,Maharashtra,Laterite,Tube_Well,None,Medium,Mostly_Male,3.18,Post_Harvest,22.58,0.93,0.91,3,21.1,9,506,1518,3,0,Very_Low
Wheat,Zaid,Haryana,Loamy,Sprinkler,None,Medium,Mostly_Male,1.46,Transplanting,23.58,0.92,3.02,4,26.2,12,617,2468,3,1,Medium
Wheat,Zaid,Karnataka,Black,Sprinkler,None,Low,Mostly_Female,3.3,Weeding,23.49,0.96,1.3,4,33.1,11,483,1932,1,3,Very_Low
Sugarcane,Rabi,West_Bengal,Alluvial,Canal,Low,Medium,Mostly_Female,3.41,Pest_Control,37.91,0.88,1.37,5,33.2,5,398,1990,0,5,Very_Low
Sugarcane,Rabi,Tamil_Nadu,Loamy,Sprinkler,High,Medium,Mostly_Female,4.24,Post_Harvest,28.16,1.15,0.82,3,19.4,10,537,1611,1,2,Very_Low
Groundnut,Rabi,Madhya_Pradesh,Sandy,Drip,Low,Medium,Mostly_Male,1.84,Land_Preparation,25.06,0.91,1.45,3,25.0,3,415,1245,3,0,Very_Low
Sugarcane,Kharif,Maharashtra,Loamy,Sprinkler,High,Low,Mixed,0.66,Pest_Control,23.8,1.12,0.85,1,8.2,1,514,514,1,0,Very_Low
Cotton,Kharif,Maharashtra,Alluvial,Sprinkler,High,Medium,Mostly_Male,0.64,Weeding,21.84,1.01,0.67,1,7.6,1,482,482,1,0,Very_Low
Sugarcane,Kharif,West_Bengal,Laterite,Canal,None,High,Mostly_Female,1.36,Sowing,32.53,1.01,3.17,4,24.9,6,445,1780,1,3,Medium
Pulses,Rabi,Madhya_Pradesh,Loamy,Tube_Well,High,Medium,Mostly_Male,6.4,Land_Preparation,17.33,1.08,0.63,4,32.3,10,486,1944,3,1,Very_Low
Sugarcane,Zaid,Odisha,Alluvial,Rainfed,Medium,Medium,Mostly_Male,0.65,Harvesting,32.15,1.09,3.66,2,14.2,5,434,868,2,0,Medium
Sugarcane,Rabi,Bihar,Laterite,Rainfed,Medium,Medium,Mixed,1.21,Irrigation,35.04,0.93,0.76,1,8.4,1,396,396,0,1,Very_Low
Groundnut,Zaid,Haryana,Black,Canal,Medium,Medium,Mostly_Female,1.24,Land_Preparation,31.28,0.94,1.11,1,7.5,2,592,592,0,1,Very_Low
Maize,Kharif,West_Bengal,Red,Tube_Well,None,Medium,Mixed,2.96,Threshing,20.02,0.89,2.25,7,44.6,11,472,3304,4,3,Low
Pulses,Rabi,Punjab,Red,Tube_Well,Medium,High,Mixed,1.15,Land_Preparation,17.19,1.02,0.75,1,7.4,2,672,672,1,0,Very_Low
Soybean,Zaid,Karnataka,Sandy,Tube_Well,Medium,Low,Mostly_Female,1.2,Threshing,14.45,0.91,1.37,2,13.6,3,446,892,0,2,Very_Low
Mustard,Kharif,Tamil_Nadu,Sandy,Rainfed,Low,Medium,Mostly_Female,1.03,Transplanting,23.36,1.01,3.92,4,34.6,6,493,1972,1,3,Medium
Cotton,Zaid,Haryana,Laterite,Tube_Well,Low,Medium,Mostly_Male,8.94,Pest_Control,26.85,1.04,1.25,11,71.6,17,693,7623,10,1,Very_Low
Vegetables,Rabi,Madhya_Pradesh,Alluvial,Canal,High,High,Mostly_Male,1.54,Fertilizer_Application,34.61,1.07,0.77,1,7.3,2,513,513,1,0,Very_Low
Groundnut,Kharif,West_Bengal,Red,Drip,None,High,Mixed,1.79,Irrigation,27.17,1.11,0.87,2,14.4,2,459,918,1,1,Very_Low
Sugarcane,Rabi,Maharashtra,Loamy,Rainfed,Medium,Medium,Mixed,1.01,Pest_Control,32.39,1.09,1.41,1,7.5,2,516,516,1,0,Very_Low
Wheat,Kharif,Haryana,Red,Canal,Medium,Medium,Mostly_Male,3.78,Irrigation,20.12,0.95,0.64,2,14.8,3,594,1188,2,0,Very_Low
Wheat,Rabi,Punjab,Red,Canal,Low,Low,Mixed,2.33,Weeding,15.73,1.1,1.21,3,20.8,7,699,2097,1,2,Very_Low
Sugarcane,Kharif,Haryana,Alluvial,Sprinkler,Low,Medium,Mostly_Male,7.59,Threshing,33.68,0.86,3.71,28,188.3,23,695,19460,24,4,Medium
Sugarcane,Rabi,Bihar,Black,Rainfed,High,High,Mostly_Female,1.9,Sowing,42.94,1.14,1.54,3,23.5,5,414,1242,0,3,Low
Vegetables,Kharif,Karnataka,Sandy,Drip,Medium,Medium,Mostly_Female,2.46,Land_Preparation,29.55,0.85,1.6,4,33.8,5,435,1740,0,4,Low
Vegetables,Kharif,Tamil_Nadu,Black,Sprinkler,Low,Low,Mostly_Female,0.65,Pest_Control,30.47,0.95,1.85,1,7.5,1,574,574,0,1,Low
Vegetables,Kharif,Odisha,Loamy,Canal,Low,Medium,Mixed,3.0,Transplanting,39.91,1.12,6.65,20,156.2,21,447,8940,11,9,High
Soybean,Rabi,Haryana,Sandy,Tube_Well,Low,Medium,Mixed,6.19,Fertilizer_Application,19.18,1.1,0.96,6,49.6,11,612,3672,3,3,Very_Low
Cotton,Zaid,Odisha,Sandy,Canal,None,Medium,Mixed,1.97,Fertilizer_Application,36.85,0.98,1.29,3,26.4,4,445,1335,1,2,Very_Low
Mustard,Zaid,West_Bengal,Loamy,Rainfed,Medium,Medium,Mixed,0.81,Weeding,15.31,1.0,0.76,1,7.3,2,391,391,1,0,Very_Low
Rice,Zaid,Madhya_Pradesh,Laterite,Rainfed,High,High,Mostly_Male,1.87,Threshing,30.45,1.12,1.24,2,14.4,5,497,994,2,0,Very_Low
Vegetables,Kharif,Karnataka,Alluvial,Tube_Well,High,Low,Mostly_Male,1.17,Weeding,37.68,0.93,0.88,1,6.2,2,498,498,1,0,Very_Low
Rice,Rabi,Karnataka,Laterite,Sprinkler,Medium,Low,Mostly_Male,0.61,Threshing,21.26,1.1,2.58,2,17.8,2,468,936,2,0,Medium
Mustard,Rabi,Maharashtra,Red,Tube_Well,Low,High,Mostly_Female,3.26,Threshing,15.87,0.89,1.48,5,33.5,11,540,2700,0,5,Very_Low
Pulses,Rabi,Punjab,Sandy,Rainfed,Low,High,Mostly_Female,1.97,Sowing,18.08,1.09,1.62,3,19.6,6,804,2412,1,2,Low
Soybean,Kharif,West_Bengal,Sandy,Sprinkler,Medium,Medium,Mostly_Female,2.96,Post_Harvest,13.71,1.09,0.84,2,15.9,8,455,910,0,2,Very_Low
Groundnut,Kharif,Tamil_Nadu,Red,Canal,Low,Medium,Mixed,0.71,Post_Harvest,29.63,0.92,0.99,1,6.3,2,533,533,0,1,Very_Low
Soybean,Kharif,Madhya_Pradesh,Black,Rainfed,None,High,Mostly_Male,1.39,Irrigation,21.64,1.08,0.83,1,7.3,1,513,513,1,0,Very_Low
Soybean,Zaid,Punjab,Sandy,Drip,None,Medium,Mixed,2.13,Pest_Control,15.56,1.14,0.88,2,14.7,5,684,1368,1,1,Very_Low
Cotton,Zaid,Odisha,Black,Tube_Well,Medium,Medium,Mixed,3.61,Weeding,29.2,1.12,1.35,5,39.9,9,361,1805,3,2,Very_Low
Maize,Kharif,Bihar,Laterite,Rainfed,High,High,Mostly_Female,5.31,Post_Harvest,24.72,0.98,0.33,2,16.8,12,380,760,0,2,Very_Low
Mustard,Zaid,Madhya_Pradesh,Laterite,Tube_Well,None,Medium,Mostly_Female,1.45,Pest_Control,18.67,0.95,0.89,1,8.8,3,468,468,0,1,Very_Low
Rice,Zaid,Madhya_Pradesh,Black,Sprinkler,Low,Medium,Mostly_Male,1.48,Irrigation,35.91,1.1,1.06,2,14.4,1,471,942,2,0,Very_Low
Mustard,Rabi,Punjab,Alluvial,Canal,Low,Low,Mostly_Male,4.0,Threshing,21.61,0.98,2.23,9,77.9,12,639,5751,9,0,Low
Vegetables,Zaid,Maharashtra,Alluvial,Rainfed,Medium,High,Mixed,2.7,Land_Preparation,31.92,0.86,1.26,3,22.8,5,484,1452,1,2,Very_Low
Soybean,Kharif,Bihar,Alluvial,Drip,Low,Low,Mostly_Female,7.27,Threshing,12.72,0.91,2.18,16,117.3,25,355,5680,4,12,Low
Cotton,Zaid,Uttar_Pradesh,Red,Rainfed,High,Medium,Mostly_Female,0.72,Irrigation,35.29,0.97,0.4,1,8.8,1,454,454,0,1,Very_Low
Vegetables,Zaid,Madhya_Pradesh,Sandy,Canal,Low,Medium,Mostly_Male,3.54,Harvesting,33.81,1.07,5.69,20,175.4,30,515,10300,17,3,High
Soybean,Kharif,Uttar_Pradesh,Alluvial,Drip,High,Medium,Mixed,1.39,Sowing,18.7,1.14,0.78,1,7.4,3,391,391,1,0,Very_Low
Pulses,Zaid,Madhya_Pradesh,Black,Tube_Well,High,Medium,Mixed,6.78,Threshing,3.84,1.13,0.96,6,39.7,22,507,3042,3,3,Very_Low
Rice,Zaid,Madhya_Pradesh,Alluvial,Drip,None,High,Mostly_Male,1.72,Threshing,26.08,1.14,2.99,5,37.0,7,514,2570,4,1,Medium
Cotton,Kharif,Karnataka,Alluvial,Sprinkler,Low,Medium,Mostly_Male,0.97,Transplanting,22.98,1.11,5.96,6,38.5,6,493,2958,6,0,High
Rice,Rabi,Uttar_Pradesh,Red,Rainfed,Low,Low,Mixed,0.61,Sowing,18.92,0.97,2.62,2,17.6,3,455,910,1,1,Medium
Mustard,Kharif,Madhya_Pradesh,Alluvial,Rainfed,Medium,Medium,Mixed,3.42,Post_Harvest,25.18,1.01,0.66,2,15.8,7,509,1018,1,1,Very_Low
Soybean,Zaid,Bihar,Loamy,Drip,Medium,Medium,Mixed,4.3,Weeding,16.4,1.08,0.86,4,26.8,12,365,1460,2,2,Very_Low
Mustard,Kharif,Tamil_Nadu,Loamy,Tube_Well,Low,Medium,Mostly_Female,0.98,Harvesting,17.15,1.14,2.63,3,25.1,7,561,1683,0,3,Medium
Rice,Rabi,Karnataka,Loamy,Rainfed,Low,High,Mostly_Male,4.74,Pest_Control,36.52,1.01,1.21,6,51.5,7,523,3138,5,1,Very_Low
Sugarcane,Kharif,Madhya_Pradesh,Black,Canal,Medium,Medium,Mostly_Male,0.99,Sowing,36.85,1.15,2.85,3,23.9,3,442,1326,3,0,Medium
Rice,Zaid,Uttar_Pradesh,Laterite,Sprinkler,None,Low,Mostly_Female,1.2,Transplanting,34.01,0.87,4.83,6,41.9,8,425,2550,1,5,High
Wheat,Zaid,Odisha,Sandy,Tube_Well,Low,Medium,Mostly_Female,0.79,Irrigation,26.37,1.09,0.87,1,8.9,1,451,451,0,1,Very_Low
Wheat,Zaid,Maharashtra,Loamy,Sprinkler,Low,Medium,Mostly_Female,1.26,Irrigation,24.05,1.0,0.64,1,6.4,1,492,492,0,1,Very_Low
Mustard,Zaid,Haryana,Loamy,Rainfed,Low,Medium,Mostly_Female,4.11,Threshing,26.74,0.99,2.29,9,78.6,16,656,5904,1,8,Low
Sugarcane,Kharif,Tamil_Nadu,Laterite,Drip,Low,Low,Mostly_Female,0.94,Transplanting,28.19,0.86,5.92,6,40.9,7,593,3558,0,6,High
Groundnut,Rabi,Odisha,Sandy,Drip,Low,Low,Mostly_Female,4.92,Post_Harvest,19.61,1.12,1.4,7,57.1,12,443,3101,1,6,Very_Low
Soybean,Kharif,Karnataka,Loamy,Rainfed,Medium,Medium,Mostly_Female,0.62,Threshing,10.94,0.85,1.52,1,8.0,2,476,476,0,1,Low
Wheat,Zaid,Bihar,Laterite,Drip,Medium,Medium,Mixed,0.74,Post_Harvest,11.28,0.86,0.6,1,6.5,2,358,358,1,0,Very_Low
Pulses,Rabi,Uttar_Pradesh,Black,Sprinkler,Low,Medium,Mostly_Male,4.11,Transplanting,18.6,0.96,3.4,14,96.4,28,444,6216,10,4,Medium
Mustard,Zaid,Odisha,Red,Drip,Medium,Low,Mostly_Male,0.53,Threshing,11.37,1.14,2.23,1,8.8,2,376,376,1,0,Low
Pulses,Kharif,Tamil_Nadu,Red,Drip,None,High,Mixed,0.54,Transplanting,12.33,1.14,3.5,2,17.7,3,558,1116,1,1,Medium
Soybean,Zaid,Bihar,Alluvial,Canal,High,High,Mostly_Male,0.77,Threshing,16.91,1.06,0.78,1,6.1,2,391,391,1,0,Very_Low
Mustard,Rabi,Punjab,Sandy,Tube_Well,Medium,High,Mixed,2.55,Irrigation,5.81,0.92,0.42,1,7.9,2,748,748,0,1,Very_Low
Soybean,Kharif,Haryana,Laterite,Sprinkler,Low,Low,Mostly_Female,3.27,Fertilizer_Application,17.61,1.02,0.89,3,18.3,7,619,1857,0,3,Very_Low
Pulses,Rabi,Karnataka,Alluvial,Tube_Well,Medium,Low,Mostly_Male,1.75,Transplanting,18.08,0.96,2.97,5,42.3,10,533,2665,4,1,Medium
Cotton,Rabi,Karnataka,Red,Rainfed,None,Medium,Mostly_Male,7.12,Sowing,40.09,0.94,3.17,23,144.0,32,453,10419,19,4,Medium
Mustard,Kharif,Odisha,Sandy,Drip,Medium,Medium,Mostly_Male,1.25,Harvesting,20.08,0.85,1.79,2,13.4,8,415,830,2,0,Low
Vegetables,Kharif,Madhya_Pradesh,Red,Sprinkler,Medium,High,Mixed,3.47,Pest_Control,36.6,0.87,0.98,3,25.0,6,494,1482,1,2,Very_Low
Groundnut,Rabi,Uttar_Pradesh,Black,Canal,Low,Medium,Mixed,7.96,Irrigation,31.74,1.01,0.83,7,54.4,9,461,3227,3,4,Very_Low
Soybean,Rabi,Madhya_Pradesh,Sandy,Canal,Low,Medium,Mostly_Male,0.77,Sowing,16.81,1.09,1.81,1,7.0,2,500,500,1,0,Low
Wheat,Kharif,Uttar_Pradesh,Red,Canal,Medium,High,Mostly_Male,1.12,Weeding,20.96,0.89,0.79,1,8.6,3,461,461,1,0,Very_Low
Rice,Kharif,Punjab,Red,Tube_Well,Low,Medium,Mostly_Female,1.05,Pest_Control,30.9,1.02,1.13,1,6.3,2,778,778,0,1,Very_Low
Vegetables,Rabi,Odisha,Sandy,Drip,None,High,Mostly_Female,1.96,Weeding,32.29,0.98,2.24,4,33.5,6,389,1556,0,4,Low
Wheat,Kharif,Bihar,Sandy,Canal,High,Medium,Mostly_Male,1.36,Threshing,24.94,0.92,1.11,2,16.2,4,352,704,1,1,Very_Low
Rice,Kharif,Maharashtra,Sandy,Canal,High,Medium,Mostly_Female,7.81,Irrigation,19.24,1.04,0.41,3,24.6,6,514,1542,0,3,Very_Low
Groundnut,Kharif,Maharashtra,Loamy,Sprinkler,Low,Low,Mostly_Male,4.26,Harvesting,27.35,0.97,3.85,16,127.9,27,472,7552,13,3,Medium
Groundnut,Rabi,Uttar_Pradesh,Loamy,Tube_Well,Medium,Medium,Mostly_Male,1.72,Pest_Control,27.38,0.9,0.77,1,6.1,2,387,387,1,0,Very_Low
Groundnut,Rabi,Tamil_Nadu,Black,Rainfed,Low,Medium,Mostly_Male,1.52,Harvesting,22.02,1.14,4.01,6,39.2,11,495,2970,5,1,High
Cotton,Zaid,Odisha,Black,Rainfed,Low,Low,Mostly_Female,1.02,Post_Harvest,29.1,1.12,1.5,2,14.5,2,370,740,0,2,Very_Low
Pulses,Zaid,Odisha,Alluvial,Tube_Well,Low,Medium,Mostly_Male,1.07,Transplanting,26.36,0.95,2.8,3,26.7,8,445,1335,3,0,Medium
Pulses,Zaid,Uttar_Pradesh,Red,Drip,None,Medium,Mixed,1.78,Harvesting,17.46,0.92,2.58,5,34.3,17,437,2185,2,3,Medium
Maize,Zaid,Karnataka,Sandy,Rainfed,None,Medium,Mostly_Female,0.62,Harvesting,22.69,0.85,2.7,2,14.6,4,471,942,0,2,Medium
Soybean,Rabi,Tamil_Nadu,Laterite,Rainfed,Low,Medium,Mixed,0.66,Transplanting,18.26,1.02,3.5,2,17.5,4,487,974,1,1,Medium
Rice,Kharif,Bihar,Laterite,Rainfed,Low,Low,Mostly_Male,1.41,Irrigation,22.69,1.08,1.21,2,16.9,1,386,772,2,0,Very_Low
Soybean,Rabi,Bihar,Loamy,Canal,Medium,Medium,Mixed,0.8,Threshing,15.01,0.96,1.39,1,7.6,3,417,417,1,0,Very_Low
Wheat,Kharif,Punjab,Red,Tube_Well,Low,Medium,Mostly_Male,3.92,Post_Harvest,21.97,1.11,1.07,4,25.3,9,776,3104,3,1,Very_Low
Cotton,Zaid,Odisha,Alluvial,Rainfed,Medium,Medium,Mostly_Male,0.82,Post_Harvest,37.06,1.07,1.16,1,6.3,2,387,387,1,0,Very_Low
Mustard,Kharif,Punjab,Sandy,Canal,High,Medium,Mixed,6.0,Sowing,12.51,0.91,0.78,5,31.4,19,655,3275,2,3,Very_Low
Sugarcane,Zaid,Madhya_Pradesh,Alluvial,Canal,None,High,Mostly_Female,2.74,Harvesting,39.89,0.97,4.28,12,77.0,19,491,5892,2,10,High
Rice,Kharif,West_Bengal,Laterite,Rainfed,None,Low,Mostly_Male,1.1,Post_Harvest,29.19,1.07,1.64,2,16.3,4,486,972,2,0,Low
Cotton,Kharif,Odisha,Loamy,Canal,None,Medium,Mixed,1.19,Pest_Control,28.82,0.95,1.51,2,16.0,2,447,894,1,1,Low
Mustard,Kharif,Madhya_Pradesh,Red,Canal,None,Medium,Mostly_Female,1.77,Pest_Control,20.65,1.04,0.93,2,14.0,3,479,958,1,1,Very_Low
Sugarcane,Zaid,Uttar_Pradesh,Laterite,Canal,None,High,Mostly_Male,0.63,Fertilizer_Application,35.1,1.15,1.5,1,7.1,1,463,463,1,0,Very_Low
Wheat,Kharif,Odisha,Sandy,Tube_Well,None,Medium,Mixed,0.82,Land_Preparation,14.55,1.08,1.64,1,7.4,1,379,379,1,0,Low
Mustard,Rabi,Tamil_Nadu,Red,Drip,Low,High,Mostly_Male,6.84,Land_Preparation,18.22,0.93,0.94,6,49.4,11,486,2916,5,1,Very_Low
Wheat,Rabi,Haryana,Red,Sprinkler,None,Low,Mixed,3.26,Irrigation,20.02,0.87,0.79,3,18.6,4,741,2223,1,2,Very_Low
Soybean,Kharif,West_Bengal,Black,Canal,None,Medium,Mostly_Female,2.78,Sowing,9.87,0.95,1.67,5,43.0,13,460,2300,1,4,Low
Cotton,Zaid,Uttar_Pradesh,Alluvial,Canal,None,Low,Mixed,0.66,Pest_Control,34.21,1.14,1.82,1,8.3,1,422,422,1,0,Low
Soybean,Kharif,Bihar,Laterite,Sprinkler,Medium,High,Mixed,1.73,Irrigation,14.91,0.98,0.42,1,6.7,1,352,352,1,0,Very_Low
Maize,Rabi,West_Bengal,Alluvial,Rainfed,None,Low,Mostly_Male,2.08,Threshing,17.18,0.89,2.32,5,42.1,9,431,2155,4,1,Low
Groundnut,Rabi,Uttar_Pradesh,Alluvial,Drip,None,Medium,Mostly_Female,0.86,Land_Preparation,23.58,1.01,1.99,2,16.0,2,393,786,0,2,Low
Rice,Rabi,Punjab,Laterite,Rainfed,None,Low,Mixed,2.77,Sowing,28.24,0.92,2.71,7,46.8,9,638,4466,4,3,Medium
Pulses,Zaid,Uttar_Pradesh,Laterite,Tube_Well,None,Medium,Mostly_Male,1.05,Weeding,19.86,0.86,0.9,1,6.5,3,433,433,1,0,Very_Low
Vegetables,Zaid,West_Bengal,Sandy,Tube_Well,Low,Low,Mostly_Female,6.97,Land_Preparation,36.24,0.95,2.91,20,168.2,14,452,9040,1,19,Medium
Groundnut,Rabi,West_Bengal,Laterite,Drip,Medium,Low,Mostly_Female,1.1,Sowing,25.66,1.01,2.05,2,16.2,3,390,780,1,1,Low
Vegetables,Rabi,West_Bengal,Alluvial,Tube_Well,High,Medium,Mostly_Male,1.65,Sowing,32.42,1.09,1.36,2,15.5,5,400,800,2,0,Very_Low
Wheat,Zaid,Uttar_Pradesh,Sandy,Canal,Low,High,Mostly_Male,2.45,Post_Harvest,20.79,1.08,0.97,2,15.8,6,378,756,2,0,Very_Low
Rice,Rabi,Madhya_Pradesh,Alluvial,Tube_Well,Medium,Medium,Mostly_Female,8.45,Irrigation,28.74,1.04,0.78,7,52.4,8,493,3451,1,6,Very_Low
Groundnut,Zaid,Maharashtra,Loamy,Rainfed,None,Medium,Mostly_Female,5.27,Sowing,21.09,1.09,2.49,13,99.7,19,501,6513,1,12,Low
Rice,Kharif,Maharashtra,Laterite,Tube_Well,High,Medium,Mostly_Female,6.25,Irrigation,26.13,0.92,0.44,3,24.9,4,476,1428,1,2,Very_Low
Mustard,Zaid,Odisha,Sandy,Tube_Well,Medium,High,Mostly_Female,8.07,Harvesting,21.86,1.09,1.7,14,118.5,47,448,6272,4,10,Low
Sugarcane,Kharif,Maharashtra,Laterite,Rainfed,Low,High,Mostly_Female,3.33,Transplanting,31.58,0.88,4.85,16,136.4,23,532,8512,3,13,High
Maize,Kharif,Tamil_Nadu,Alluvial,Canal,Low,Medium,Mostly_Female,3.03,Post_Harvest,13.78,1.0,0.95,3,26.9,9,585,1755,1,2,Very_Low
Rice,Rabi,Punjab,Loamy,Sprinkler,Low,Medium,Mixed,1.85,Threshing,32.96,0.86,2.76,5,31.1,7,699,3495,2,3,Medium
Mustard,Kharif,Madhya_Pradesh,Alluvial,Drip,High,High,Mostly_Female,0.86,Threshing,24.88,1.07,0.88,1,8.9,3,447,447,0,1,Very_Low
Mustard,Kharif,Punjab,Alluvial,Tube_Well,Low,Medium,Mixed,3.5,Harvesting,18.97,1.05,3.11,11,71.9,22,728,8008,5,6,Medium
Vegetables,Kharif,Haryana,Black,Sprinkler,High,Medium,Mostly_Female,1.04,Irrigation,43.81,1.09,0.68,1,7.3,1,609,609,0,1,Very_Low
Vegetables,Zaid,Karnataka,Loamy,Rainfed,Low,Medium,Mostly_Male,0.52,Sowing,39.09,0.93,3.24,2,16.7,2,474,948,1,1,Medium
Mustard,Zaid,Maharashtra,Black,Drip,Low,High,Mostly_Female,1.02,Threshing,17.96,1.02,1.77,2,14.3,3,566,1132,0,2,Low
Vegetables,Kharif,Uttar_Pradesh,Loamy,Rainfed,High,High,Mostly_Female,2.51,Irrigation,32.52,1.1,0.6,2,15.3,2,476,952,0,2,Very_Low
Maize,Rabi,Tamil_Nadu,Red,Canal,None,Low,Mostly_Female,4.27,Fertilizer_Application,14.58,0.88,0.86,4,35.8,8,566,2264,1,3,Very_Low
Vegetables,Rabi,Tamil_Nadu,Sandy,Canal,None,High,Mostly_Male,3.11,Irrigation,35.23,1.01,1.39,4,30.0,3,582,2328,3,1,Very_Low
Maize,Rabi,Karnataka,Black,Sprinkler,Low,Medium,Mixed,0.56,Land_Preparation,15.64,1.04,1.22,1,6.9,1,531,531,1,0,Very_Low
Cotton,Rabi,Odisha,Loamy,Canal,High,High,Mostly_Female,1.81,Pest_Control,26.02,0.88,0.43,1,8.2,3,394,394,0,1,Very_Low
Wheat,Rabi,Bihar,Sandy,Sprinkler,None,Medium,Mostly_Female,1.18,Land_Preparation,21.69,1.12,1.69,2,17.7,3,389,778,0,2,Low
Soybean,Kharif,West_Bengal,Red,Rainfed,High,Medium,Mixed,1.51,Land_Preparation,11.28,1.09,0.63,1,8.5,2,466,466,1,0,Very_Low
